	akt/adap_adap_multi/akt	bad/adap_adap_multi/bad	egfr/adap_adap_multi/egfr	erk/adap_adap_multi/erk	her2/adap_adap_multi/her2	igf1r/adap_adap_multi/igf1r	raf/adap_adap_multi/raf
X1.10735X6_140403_D00294_0087_AC3WHDACXX_3_Rsubread_pt2	0.525535523	0.322097014	0.287434179	0.717175468	0.360771179	0.197472897	0.228909444
X2.10735X7_140403_D00294_0087_AC3WHDACXX_3_Rsubread_pt2	0.583156565	0.722488652	0.417724912	0.715961408	0.392874524	0.327377018	0.363778777
X3.10735X2_140403_D00294_0087_AC3WHDACXX_3_Rsubread_pt2	0.307363115	0.62725498	0.70283261	0.468820481	0.601671404	0.794207918	0.643915714
X4.10735X8_140403_D00294_0087_AC3WHDACXX_3_Rsubread_pt2	0.344069548	0.661355078	0.715651336	0.374411039	0.525474512	0.516903145	0.693588413
X5.10735X5_140403_D00294_0087_AC3WHDACXX_3_Rsubread_pt2	0.277220474	0.620673747	0.4505643	0.572051597	0.437444755	0.360096656	0.462906286
X6.10735X3_140403_D00294_0087_AC3WHDACXX_3_Rsubread_pt2	0.260872324	0.044034214	0.318858179	0.029769123	0.355654595	0.270316922	0.510362025
X1.10883X1_140703_D00550_0169_BC41A9ANXX_7_Rsubread_pt3	0.337454045	0.602760258	0.468341427	0.09725637	0.420883558	0.971236007	0.910314671
X2.10883X2_140703_D00550_0169_BC41A9ANXX_7_Rsubread_pt3	0.424224375	0.847028988	0.353254572	0.069552985	0.49931706	0.602144329	0.828670347
X3.10883X3_140703_D00550_0169_BC41A9ANXX_7_Rsubread_pt3	0.218783024	0.081682707	0.74552953	0.566320266	0.328559825	0.244862686	0.249623412
X4.10883X4_140703_D00550_0169_BC41A9ANXX_7_Rsubread_pt3	0.252732252	0.033620296	0.700141185	0.040996069	0.264603052	0.578165167	0.328975376
X5.10883X5_140703_D00550_0169_BC41A9ANXX_7_Rsubread_pt3	0.204399921	0.060400577	0.672773198	0.028238229	0.283157538	0.641704543	0.439594581
X6.10883X6_140703_D00550_0169_BC41A9ANXX_7_Rsubread_pt3	0.353592579	0.086297939	0.432111642	0.021151311	0.282241165	0.250078914	0.609721808
X7.10883X7_140703_D00550_0169_BC41A9ANXX_8_Rsubread_pt3	0.15694784	0.069665713	0.86462453	0.359383511	0.305978684	0.230563654	0.211234254
X8.10883X8_140703_D00550_0169_BC41A9ANXX_8_Rsubread_pt3	0.400186482	0.558728553	0.287349573	0.938756754	0.353243368	0.092259488	0.122714936
X9.10883X9_140703_D00550_0169_BC41A9ANXX_8_Rsubread_pt3	0.573940249	0.934652731	0.27674065	0.946726715	0.557732752	0.337483216	0.406699637
Ten.10883X10_140703_D00550_0169_BC41A9ANXX_8_Rsubread_pt3	0.578782298	0.867927476	0.23670653	0.768432028	0.861370026	0.456483591	0.553612488
TenPlusOne.10883X11_140703_D00550_0169_BC41A9ANXX_8_Rsubread_pt3	0.639193875	0.962603513	0.207713548	0.985262386	0.42983733	0.07365153	0.162537114
